book_id,title,extracted_saint,sinksar_dates,tselot_dates,missing_in_tselot,extra_in_tselot,question
AM-DRS-001,የቅዱስ ኢያቄምና- የቅድስት ሐና ድርሳን በአማርኛ,ቅዱስ ኢያቄምና- የቅድስት ሐና ድርሳን,"[(8, 7)]","[(1, 1), (1, 3), (1, 7), (1, 11), (1, 12), (2, 1), (2, 3), (2, 11), (3, 1), (3, 3), (3, 11), (4, 1), (4, 3), (4, 11), (4, 13), (5, 1), (5, 3), (5, 11), (6, 1), (6, 3), (6, 11), (7, 1), (7, 3), (7, 11), (8, 1), (8, 3), (8, 7), (8, 11), (9, 1), (9, 3), (9, 11), (10, 1), (10, 3), (10, 11), (11, 1), (11, 3), (11, 11), (12, 1), (12, 3), (12, 7), (12, 11)]",[],"[(1, 1), (1, 3), (1, 7), (1, 11), (1, 12), (2, 1), (2, 3), (2, 11), (3, 1), (3, 3), (3, 11), (4, 1), (4, 3), (4, 11), (4, 13), (5, 1), (5, 3), (5, 11), (6, 1), (6, 3), (6, 11), (7, 1), (7, 3), (7, 11), (8, 1), (8, 3), (8, 11), (9, 1), (9, 3), (9, 11), (10, 1), (10, 3), (10, 11), (11, 1), (11, 3), (11, 11), (12, 1), (12, 3), (12, 7), (12, 11)]","ቅዱስ ኢያቄምና- የቅድስት ሐና ድርሳን in Sinksar on OK but in App DB on [(1, 1), (1, 3), (1, 7), (1, 11), (1, 12), (2, 1), (2, 3), (2, 11), (3, 1), (3, 3), (3, 11), (4, 1), (4, 3), (4, 11), (4, 13), (5, 1), (5, 3), (5, 11), (6, 1), (6, 3), (6, 11), (7, 1), (7, 3), (7, 11), (8, 1), (8, 3), (8, 11), (9, 1), (9, 3), (9, 11), (10, 1), (10, 3), (10, 11), (11, 1), (11, 3), (11, 11), (12, 1), (12, 3), (12, 7), (12, 11)] - which correct?"
AM-DRS-003,ድርሳነ ገብርኤል በአማርኛ,ገብርኤል,"[(1, 23), (2, 23), (3, 23), (4, 23), (5, 23), (6, 21), (6, 23), (7, 23), (8, 23), (9, 23), (10, 23), (11, 23), (12, 23)]","[(1, 19), (2, 19), (3, 19), (4, 19), (4, 22), (5, 19), (6, 19), (7, 19), (7, 30), (8, 19), (9, 19), (10, 13), (10, 19), (10, 26), (11, 19), (12, 7), (12, 19)]","[(1, 23), (2, 23), (3, 23), (4, 23), (5, 23), (6, 21), (6, 23), (7, 23), (8, 23), (9, 23), (10, 23), (11, 23), (12, 23)]","[(1, 19), (2, 19), (3, 19), (4, 19), (4, 22), (5, 19), (6, 19), (7, 19), (7, 30), (8, 19), (9, 19), (10, 13), (10, 19), (10, 26), (11, 19), (12, 7), (12, 19)]","ገብርኤል in Sinksar on [(1, 23), (2, 23), (3, 23), (4, 23), (5, 23), (6, 21), (6, 23), (7, 23), (8, 23), (9, 23), (10, 23), (11, 23), (12, 23)] but in App DB on [(1, 19), (2, 19), (3, 19), (4, 19), (4, 22), (5, 19), (6, 19), (7, 19), (7, 30), (8, 19), (9, 19), (10, 13), (10, 19), (10, 26), (11, 19), (12, 7), (12, 19)] - which correct?"
AM-DRS-004,ድርሳነ መድኃኔ ዓለም በአማርኛ,መድኃኔ ዓለም,"[(12, 27)]","[(1, 27), (2, 27), (3, 27), (4, 27), (5, 27), (6, 27), (7, 27), (8, 27), (9, 27), (10, 27), (11, 27), (12, 27)]",[],"[(1, 27), (2, 27), (3, 27), (4, 27), (5, 27), (6, 27), (7, 27), (8, 27), (9, 27), (10, 27), (11, 27)]","መድኃኔ ዓለም in Sinksar on OK but in App DB on [(1, 27), (2, 27), (3, 27), (4, 27), (5, 27), (6, 27), (7, 27), (8, 27), (9, 27), (10, 27), (11, 27)] - which correct?"
AM-DRS-005,ድርሳነ ኤልያስ ነቢይ በአማርኛ,ኤልያስ ነቢይ,"[(1, 6), (2, 6), (3, 6), (5, 6), (6, 6), (7, 6), (7, 11), (8, 6), (9, 6), (10, 6), (11, 6), (12, 6), (12, 13)]","[(1, 6), (2, 6), (3, 6), (4, 1), (4, 6), (5, 6), (6, 6), (7, 6), (8, 6), (9, 6), (10, 6), (11, 6), (12, 6), (12, 13)]","[(7, 11)]","[(4, 1), (4, 6)]","ኤልያስ ነቢይ in Sinksar on [(7, 11)] but in App DB on [(4, 1), (4, 6)] - which correct?"
AM-GDL-001,ገድለ ቅዱስ አባ ጊዮርጊስ ዘጋሥጫ በአማርኛ,አባ ጊዮርጊስ ዘጋሥጫ,"[(5, 4)]","[(1, 7), (2, 7), (3, 7), (4, 7), (5, 7), (6, 7), (7, 7), (8, 7), (9, 7), (10, 7), (11, 7), (12, 7)]","[(5, 4)]","[(1, 7), (2, 7), (3, 7), (4, 7), (5, 7), (6, 7), (7, 7), (8, 7), (9, 7), (10, 7), (11, 7), (12, 7)]","አባ ጊዮርጊስ ዘጋሥጫ in Sinksar on [(5, 4)] but in App DB on [(1, 7), (2, 7), (3, 7), (4, 7), (5, 7), (6, 7), (7, 7), (8, 7), (9, 7), (10, 7), (11, 7), (12, 7)] - which correct?"
AM-GDL-004,ገድለ ተክለ ሃይማኖት በአማርኛ,ተክለ ሃይማኖት,"[(1, 24), (2, 24), (3, 24), (4, 24), (5, 24), (6, 24), (7, 24), (8, 24), (9, 24), (10, 24), (11, 24), (12, 24)]","[(1, 24), (2, 24), (3, 24), (4, 24), (5, 24), (6, 24), (7, 24), (8, 22), (8, 24), (9, 12), (9, 24), (10, 24), (11, 24), (12, 24)]",[],"[(8, 22), (9, 12)]","ተክለ ሃይማኖት in Sinksar on OK but in App DB on [(8, 22), (9, 12)] - which correct?"
AM-GDL-005,ገድለ ቅድስት ክርስቶስ ሠምራ በአማርኛ,ክርስቶስ ሠምራ,"[(1, 12), (1, 24), (2, 12), (2, 24), (3, 12), (3, 24), (4, 12), (4, 24), (6, 12), (6, 24), (7, 12), (7, 24), (8, 12), (8, 24), (9, 24), (10, 12), (10, 24), (11, 12), (11, 24), (12, 12), (12, 24)]","[(1, 24), (2, 24), (3, 24), (4, 24), (5, 24), (6, 24), (7, 24), (8, 24), (9, 12), (9, 24), (10, 24), (11, 24), (12, 24)]","[(1, 12), (2, 12), (3, 12), (4, 12), (6, 12), (7, 12), (8, 12), (10, 12), (11, 12), (12, 12)]","[(5, 24), (9, 12)]","ክርስቶስ ሠምራ in Sinksar on [(1, 12), (2, 12), (3, 12), (4, 12), (6, 12), (7, 12), (8, 12), (10, 12), (11, 12), (12, 12)] but in App DB on [(5, 24), (9, 12)] - which correct?"
AM-GDL-007,ገድለ አቡነ ገብረ መንፈስ ቅዱስ በአማርኛ,ገብረ መንፈስ ቅዱስ,"[(1, 5), (2, 5), (3, 5), (4, 5), (4, 29), (5, 5), (6, 5), (7, 29), (9, 5), (11, 5), (12, 5)]","[(1, 5), (2, 5), (3, 5), (4, 5), (4, 29), (5, 5), (6, 5), (7, 5), (7, 29), (8, 5), (9, 5), (10, 5), (11, 5), (12, 5)]",[],"[(7, 5), (8, 5), (10, 5)]","ገብረ መንፈስ ቅዱስ in Sinksar on OK but in App DB on [(7, 5), (8, 5), (10, 5)] - which correct?"
AM-GDL-008,ገድለ ሰማዕት ቅድስት አርሴማ በአማርኛ,ሰማዕት ቅድስት አርሴማ,"[(5, 29)]","[(1, 6), (1, 29), (2, 6), (3, 6), (4, 6), (5, 6), (6, 6), (7, 6), (8, 6), (9, 6), (10, 6), (10, 17), (11, 6), (12, 6)]","[(5, 29)]","[(1, 6), (1, 29), (2, 6), (3, 6), (4, 6), (5, 6), (6, 6), (7, 6), (8, 6), (9, 6), (10, 6), (10, 17), (11, 6), (12, 6)]","ሰማዕት ቅድስት አርሴማ in Sinksar on [(5, 29)] but in App DB on [(1, 6), (1, 29), (2, 6), (3, 6), (4, 6), (5, 6), (6, 6), (7, 6), (8, 6), (9, 6), (10, 6), (10, 17), (11, 6), (12, 6)] - which correct?"
AM-GDL-009,ገድለ ቅዱስ እስጢፋኖስ አማርኛ,እስጢፋኖስ አማርኛ,"[(5, 17)]","[(1, 15), (1, 17), (2, 17), (3, 17), (4, 17), (5, 1), (5, 17), (6, 17), (7, 17), (8, 17), (9, 17), (10, 17), (11, 17), (12, 17)]",[],"[(1, 15), (1, 17), (2, 17), (3, 17), (4, 17), (5, 1), (6, 17), (7, 17), (8, 17), (9, 17), (10, 17), (11, 17), (12, 17)]","እስጢፋኖስ አማርኛ in Sinksar on OK but in App DB on [(1, 15), (1, 17), (2, 17), (3, 17), (4, 17), (5, 1), (6, 17), (7, 17), (8, 17), (9, 17), (10, 17), (11, 17), (12, 17)] - which correct?"
